delivery_id,driver_id,pickup_datetime,dropoff_datetime,distance_km,duration_min,order_value,fare,surge_multiplier,platform_fee_rate,tip,driver_payout,rating,cancelled,city
DEL000001,D0122,2024-07-02 06:27:22,2024-07-02 06:40:22,2.716,13,21.38,8.67,1.0,0.243,3.47,10.03,4.6,0,Houston
DEL000002,D0053,2024-07-25 06:57:36,2024-07-25 07:13:36,5.375,16,35.3,10.61,1.0,0.298,2.56,10.01,5.0,0,Los Angeles
DEL000003,D0094,2024-07-26 21:34:43,2024-07-26 21:58:43,6.325,24,33.15,14.68,1.0,0.217,0.0,11.49,4.8,0,New York
DEL000004,D0166,2024-07-18 14:42:58,2024-07-18 15:00:58,5.259,18,43.89,12.4,1.0,0.247,3.35,12.69,4.9,0,New York
DEL000005,D0054,2024-07-15 16:42:26,2024-07-15 16:49:26,0.518,7,20.71,4.23,1.0,0.29,0.0,3.0,4.6,0,New York
DEL000006,D0055,2024-07-10 14:24:43,2024-07-10 14:42:43,3.936,18,25.78,10.47,1.0,0.263,2.33,10.05,4.6,0,New York
DEL000007,D0041,2024-07-20 18:00:19,2024-07-20 18:08:19,0.2,8,18.84,4.94,1.0,0.291,1.09,4.59,4.1,0,Los Angeles
DEL000008,D0091,2024-07-16 14:28:43,2024-07-16 14:40:43,1.609,12,14.09,7.55,1.0,0.16,1.07,7.41,4.3,0,Phoenix
DEL000009,D0172,2024-07-09 19:18:32,2024-07-09 19:23:32,1.364,5,22.18,5.23,1.0,0.241,0.0,3.97,5.0,0,Los Angeles
DEL000010,D0150,2024-07-12 19:14:51,2024-07-12 19:31:51,1.59,17,8.36,8.31,1.0,0.23,1.51,7.91,4.9,0,New York
DEL000011,D0137,2024-07-24 18:49:04,2024-07-24 19:07:04,2.289,18,15.44,9.23,1.0,0.156,0.0,7.79,5.0,0,Phoenix
DEL000012,D0095,2024-07-19 15:15:09,2024-07-19 15:28:09,2.721,13,33.06,7.09,1.0,0.157,2.47,8.45,5.0,0,Chicago
DEL000013,D0149,2024-07-06 20:14:11,2024-07-06 20:29:11,1.512,15,20.95,7.21,1.0,0.256,0.0,5.36,4.9,0,Los Angeles
DEL000014,D0091,2024-07-28 12:54:07,2024-07-28 13:02:07,1.552,8,31.77,5.97,1.0,0.208,0.0,4.73,4.5,0,Phoenix
DEL000015,D0150,2024-07-28 18:48:57,2024-07-28 18:59:57,1.994,11,21.84,6.28,1.0,0.241,0.0,4.77,4.1,0,New York
DEL000016,D0024,2024-07-21 20:35:28,2024-07-21 20:44:28,1.558,9,7.83,6.64,1.0,0.268,0.0,4.86,4.8,0,Phoenix
DEL000017,D0102,2024-07-13 20:53:40,2024-07-13 21:07:40,1.835,14,5.41,7.58,1.0,0.235,0.0,5.8,4.6,0,New York
DEL000018,D0026,2024-07-12 12:04:45,2024-07-12 12:25:45,3.13,21,26.96,10.09,1.0,0.295,1.39,8.5,4.3,0,Phoenix
DEL000019,D0197,2024-07-27 05:09:14,2024-07-27 05:14:14,0.673,5,32.89,3.93,1.0,0.249,1.99,4.94,4.2,0,Phoenix
DEL000020,D0181,2024-07-21 14:34:29,2024-07-21 14:46:29,1.809,12,23.55,6.65,1.0,0.157,3.5,9.11,4.7,0,Los Angeles
