driver_id,join_date,city,vehicle_type,acceptance_rate,avg_weekly_hours,delivered_trips,total_earnings,avg_payout_per_trip,avg_rating
D0001,2024-10-29,New York,Car,0.902,40,26,237.81,9.15,4.67
D0002,2024-11-12,Chicago,Bike,0.976,32,35,300.8,8.59,4.63
D0003,2024-10-04,Los Angeles,Bike,0.813,20,24,209.24,8.72,4.68
D0004,2024-11-02,New York,Car,0.712,19,25,199.62,7.98,4.6
D0005,2024-10-17,Phoenix,Car,0.777,10,22,199.24,9.06,4.5
D0006,2024-10-25,New York,Car,0.855,10,26,213.63,8.22,4.64
D0007,2024-10-18,New York,Bike,0.758,28,28,261.99,9.36,4.75
D0008,2024-11-02,Los Angeles,Car,0.802,43,23,227.06,9.87,4.67
D0009,2024-11-16,Phoenix,Bike,0.916,12,22,214.88,9.77,4.73
D0010,2024-11-02,Phoenix,Car,0.744,26,23,213.08,9.26,4.68
D0011,2024-10-18,Los Angeles,Car,0.841,21,21,185.02,8.81,4.66
D0012,2024-10-29,Phoenix,Scooter,0.813,35,16,126.13,7.88,4.53
D0013,2024-11-04,New York,Bike,0.876,21,27,222.62,8.25,4.58
D0014,2024-10-08,Houston,Scooter,0.932,34,24,210.39,8.77,4.73
D0015,2024-10-08,Chicago,Bike,0.783,21,26,220.81,8.49,4.66
D0016,2024-10-01,Los Angeles,Scooter,0.812,23,21,196.99,9.38,4.67
D0017,2024-11-02,New York,Car,0.915,38,27,290.15,10.75,4.71
D0018,2024-09-29,Houston,Car,0.879,18,28,242.69,8.67,4.58
D0019,2024-10-09,Chicago,Scooter,0.847,40,19,190.03,10.0,4.61
D0020,2024-10-22,Phoenix,Scooter,0.857,22,19,153.31,8.07,4.68
D0021,2024-11-02,New York,Car,0.832,28,33,350.86,10.63,4.61
D0022,2024-10-28,Phoenix,Car,0.785,19,21,219.35,10.45,4.67
D0023,2024-09-21,Houston,Car,0.923,28,27,233.39,8.64,4.64
D0024,2024-10-06,Phoenix,Scooter,0.858,34,28,306.89,10.96,4.7
D0025,2024-11-01,Phoenix,Scooter,0.819,10,24,276.02,11.5,4.62
D0026,2024-10-05,Phoenix,Bike,0.85,22,35,309.84,8.85,4.68
D0027,2024-10-27,New York,Car,0.823,16,26,198.79,7.65,4.7
D0028,2024-09-17,Los Angeles,Scooter,0.99,26,26,253.41,9.75,4.6
D0029,2024-10-30,New York,Bike,0.696,24,29,307.5,10.6,4.6
D0030,2024-11-03,New York,Car,0.855,49,26,245.9,9.46,4.59
D0031,2024-11-30,Chicago,Car,0.835,28,23,191.94,8.35,4.65
D0032,2024-11-13,Chicago,Bike,0.941,32,28,233.82,8.35,4.58
D0033,2024-11-06,Chicago,Scooter,0.962,10,21,178.18,8.48,4.63
D0034,2024-10-16,Los Angeles,Scooter,0.771,19,22,226.07,10.28,4.67
D0035,2024-10-14,New York,Bike,0.726,25,30,248.09,8.27,4.64
D0036,2024-10-16,Phoenix,Bike,0.776,40,22,171.78,7.81,4.54
D0037,2024-09-19,Los Angeles,Car,0.787,21,32,281.33,8.79,4.71
D0038,2024-09-22,Houston,Scooter,0.915,12,28,239.93,8.57,4.68
D0039,2024-10-05,Phoenix,Bike,0.721,26,23,228.61,9.94,4.68
D0040,2024-11-19,Chicago,Car,0.871,32,40,363.56,9.09,4.68
D0041,2024-10-31,Los Angeles,Car,0.892,27,32,309.52,9.67,4.61
D0042,2024-09-29,Chicago,Car,0.796,27,29,230.63,7.95,4.7
D0043,2024-10-18,Chicago,Car,0.873,17,26,217.28,8.36,4.62
D0044,2024-10-21,Los Angeles,Scooter,0.755,31,26,232.98,8.96,4.62
D0045,2024-10-12,Los Angeles,Car,0.943,16,23,239.11,10.4,4.7
